,RandomForestClassifier,LogisticRegression,SVC,KNeighborsClassifier,DecisionTreeClassifier
Random Oversampled,0.9673202614379085,0.934640522875817,0.9281045751633987,0.9869281045751634,0.9379084967320261
Random Undersampled,0.25,0.25,0.5,0.25,0.75
SMOTE sampled,0.9509803921568627,0.9117647058823529,0.9411764705882353,0.8529411764705882,0.9183006535947712
Stratified sampled,1.0,0.9871794871794872,1.0,1.0,1.0
SMOTETomek,0.9563758389261745,0.9261744966442953,0.9328859060402684,0.8489932885906041,0.8926174496644296
